name,vehicles,trips,optimal,best,diff,coverage,timeout
a2-16,2,16,294.25,294.25,0\%,100\%,Si
a2-20,2,20,344.83,356.73,-,100\%,Si
a2-24,2,24,431.12,455.25,-,100\%,Si
a3-24,3,24,344.83,373.60,,-100\%,Si
a3-30,3,30,494.85,532.15,-,100\%,Si
a3-36,3,36,583.19,598.08,-,100\%,Si
a4-32,4,32,485.5,527.96,-,100\%,Si
a4-40,4,40,557.69,707.32,-,100\%,Si
a4-48,4,48,668.82,715.06,-,97.9\%,No
a5-40,5,40,498.41,560.07,-,100\%,No
a5-50,5,50,686.62,797.10,-,100\%,No
a5-60,5,60,808.42,922.26,-,100\%,No
a6-48,6,48,604.12,654.45,-,100\%,No
a6-60,6,60,819.25,983.8,-,100\%,No
a6-72,6,72,916.05,1321.81,-,97.2\%,No
a7-56,7,56,724.04,830.92,-,100\%,No
a7-70,7,70,889.12,1039.33,-,100\%,No
a7-84,7,84,1033.37,1241.09,-,94\%,No
a8-64,8,64,747.46,921.8,-,100\%,No
a8-80,8,80,945.73,1069.48,-,96.2\%,No
a8-96,8,96,1229.7,1638.67,-,989\%,No
